city,cityLabel,city_population,city_coordinate_location,sister,sisterLabel,sister_population,sister_coordinate_location
http://www.wikidata.org/entity/Q47492,Gaza,515556,Point(34.45 31.516666666),http://www.wikidata.org/entity/Q26087,Tromsø,76974,Point(18.95701 69.64961)
http://www.wikidata.org/entity/Q47492,Gaza,515556,Point(34.45 31.516666666),http://www.wikidata.org/entity/Q26087,Tromsø,76974,Point(18.933333 69.666667)
http://www.wikidata.org/entity/Q47492,Gaza,515556,Point(34.45 31.516666666),http://www.wikidata.org/entity/Q33935,Tel Aviv,451523,Point(34.78 32.08)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q34932,Brisbane,2360241,Point(153.027777777 -27.467777777)
http://www.wikidata.org/entity/Q47772,San Carlos de Bariloche,112887,Point(-71.3 -41.15),http://www.wikidata.org/entity/Q36214,Puerto Montt,169736,Point(-72.9396 -41.4718)
http://www.wikidata.org/entity/Q47554,Toruń,201447,Point(18.616666666 53.016666666),http://www.wikidata.org/entity/Q38380,Angers,154508,Point(-0.555555555 47.472777777)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q41621,Haifa,281087,Point(34.983333333 32.8)
http://www.wikidata.org/entity/Q47554,Toruń,201447,Point(18.616666666 53.016666666),http://www.wikidata.org/entity/Q43631,Leida,124899,Point(4.494722222 52.154444444)
http://www.wikidata.org/entity/Q47138,Encarnación,136308,Point(-55.866666666 -27.333333333),http://www.wikidata.org/entity/Q44238,Posadas,275988,Point(-55.896944444 -27.366666666)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q44244,Santa Fe,405683,Point(-60.7 -31.633333333)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q44244,Santa Fe,405683,Point(-60.7 -31.63333)
